step,epoch,epoch_step,loss,learn_rate
500,499,0,0.2107514,0.004
1000,999,0,0.1881889,0.004
1500,1499,0,0.1861643,0.004
2000,1999,0,0.1914497,0.004
2500,2499,0,0.1364315,0.004
3000,2999,0,0.3408584,0.004
3500,3499,0,0.2092861,0.004
4000,3999,0,0.2401033,0.004
4500,4499,0,0.1334214,0.004
5000,4999,0,0.1615858,0.004
5500,5499,0,0.1349088,0.004
6000,5999,0,0.0820461,0.004
6500,6499,0,0.1772631,0.004
7000,6999,0,0.1279947,0.004
7500,7499,0,0.1997436,0.004
8000,7999,0,0.1070224,0.004
8500,8499,0,0.1858761,0.004
9000,8999,0,0.1191030,0.004
